  Mh = 0.8

  Q 
0.10000E+01 0.10965E+01 0.12023E+01 0.13183E+01 0.14454E+01
0.15849E+01 0.17378E+01 0.19055E+01 0.20893E+01 0.22909E+01
0.25119E+01 0.27542E+01 0.30200E+01 0.33113E+01 0.36308E+01
0.39811E+01 0.43652E+01 0.47863E+01 0.52481E+01 0.57544E+01
0.63096E+01 0.69183E+01 0.75858E+01 0.83176E+01 0.91201E+01
0.10000E+02 0.10965E+02 0.12023E+02 0.13183E+02 0.14454E+02
0.15849E+02 0.17378E+02 0.19055E+02 0.20893E+02 0.22909E+02
0.25119E+02 0.27542E+02 0.30200E+02 0.33113E+02 0.36308E+02
0.39811E+02 0.43652E+02 0.47863E+02 0.52481E+02 0.57544E+02
0.63096E+02 0.69183E+02 0.75858E+02 0.83176E+02 0.91201E+02

  z 
0.20000E+00 0.22667E+00 0.25333E+00 0.28000E+00 0.30667E+00
0.33333E+00 0.36000E+00 0.38667E+00 0.41333E+00 0.44000E+00
0.46667E+00 0.49333E+00 0.52000E+00 0.54667E+00 0.57333E+00
0.60000E+00 0.62667E+00 0.65333E+00 0.68000E+00 0.70667E+00
0.73333E+00 0.76000E+00 0.78667E+00 0.81333E+00 0.84000E+00
0.86667E+00 0.89333E+00 0.92000E+00 0.94667E+00 0.97333E+00


  anti-t       anti-b       anti-c       anti-s       anti-u       anti-d       g            d            u            s            c            b            t
  0.00000E+00 -0.11102E-15  0.76049E+00  0.82665E+00  0.11224E+01  0.11308E+01  0.25748E-01  0.11308E+01  0.11224E+01  0.82665E+00  0.76049E+00 -0.11102E-15  0.00000E+00
  0.00000E+00 -0.55511E-16  0.79632E+00  0.84065E+00  0.12017E+01  0.12123E+01  0.23891E-01  0.12123E+01  0.12017E+01  0.84065E+00  0.79632E+00 -0.55511E-16  0.00000E+00
  0.00000E+00 -0.83267E-16  0.79022E+00  0.82792E+00  0.12358E+01  0.12477E+01  0.21790E-01  0.12477E+01  0.12358E+01  0.82792E+00  0.79022E+00 -0.83267E-16  0.00000E+00
  0.00000E+00 -0.13878E-15  0.75256E+00  0.79536E+00  0.12346E+01  0.12472E+01  0.19616E-01  0.12472E+01  0.12346E+01  0.79536E+00  0.75256E+00 -0.13878E-15  0.00000E+00
  0.00000E+00 -0.55511E-16  0.69405E+00  0.74958E+00  0.12082E+01  0.12211E+01  0.17482E-01  0.12211E+01  0.12082E+01  0.74958E+00  0.69405E+00 -0.55511E-16  0.00000E+00
  0.00000E+00 -0.16653E-15  0.62364E+00  0.69591E+00  0.11651E+01  0.11777E+01  0.15455E-01  0.11777E+01  0.11651E+01  0.69591E+00  0.62364E+00 -0.16653E-15  0.00000E+00
  0.00000E+00 -0.97145E-16  0.54815E+00  0.63828E+00  0.11115E+01  0.11236E+01  0.13572E-01  0.11236E+01  0.11115E+01  0.63828E+00  0.54815E+00 -0.97145E-16  0.00000E+00
  0.00000E+00 -0.55511E-16  0.47248E+00  0.57946E+00  0.10518E+01  0.10631E+01  0.11847E-01  0.10631E+01  0.10518E+01  0.57946E+00  0.47248E+00 -0.55511E-16  0.00000E+00
  0.00000E+00  0.00000E+00  0.39993E+00  0.52133E+00  0.98889E+00  0.99930E+00  0.10283E-01  0.99930E+00  0.98889E+00  0.52133E+00  0.39993E+00  0.00000E+00  0.00000E+00
  0.00000E+00  0.00000E+00  0.33266E+00  0.46513E+00  0.92467E+00  0.93408E+00  0.88755E-02  0.93408E+00  0.92467E+00  0.46513E+00  0.33266E+00  0.00000E+00  0.00000E+00
